"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2137","Check displaying of dashboard page","LMS system","Sat Apr 26 17:26:16 GMT 2025","passed","Sat Apr 26 17:26:18 GMT 2025","Dashboard","Dashboard","",""
"","1706","User login with wrong email or password","LMS system","Sat Apr 26 17:25:38 GMT 2025","passed","Sat Apr 26 17:25:40 GMT 2025","Authorization","Authentication","",""
"","2791","Create course","LMS system","Sat Apr 26 17:26:02 GMT 2025","passed","Sat Apr 26 17:26:05 GMT 2025","Courses","Courses","",""
"","1234","Check displaying of empty courses list","LMS system","Sat Apr 26 17:26:10 GMT 2025","passed","Sat Apr 26 17:26:11 GMT 2025","Courses","Courses","",""
"","1204","Navigation from login page to registration page","LMS system","Sat Apr 26 17:25:48 GMT 2025","passed","Sat Apr 26 17:25:49 GMT 2025","Authorization","Authentication","",""
"","1583","Check displaying of empty courses list","LMS system","Sat Apr 26 17:26:13 GMT 2025","passed","Sat Apr 26 17:26:15 GMT 2025","Courses","Courses","",""
"","1355","User login with wrong email or password","LMS system","Sat Apr 26 17:25:33 GMT 2025","passed","Sat Apr 26 17:25:35 GMT 2025","Authorization","Authentication","",""
"","1922","Registration with correct email, username and password","LMS system","Sat Apr 26 17:25:51 GMT 2025","passed","Sat Apr 26 17:25:53 GMT 2025","Registration","Authentication","",""
"","1704","User login with wrong email or password","LMS system","Sat Apr 26 17:25:25 GMT 2025","passed","Sat Apr 26 17:25:27 GMT 2025","Authorization","Authentication","",""
"","1574","Registration with correct email, username and password","LMS system","Sat Apr 26 17:25:48 GMT 2025","passed","Sat Apr 26 17:25:50 GMT 2025","Registration","Authentication","",""
"","1571","User login with wrong email or password","LMS system","Sat Apr 26 17:25:31 GMT 2025","passed","Sat Apr 26 17:25:33 GMT 2025","Authorization","Authentication","",""
"","1776","User login with wrong email or password","LMS system","Sat Apr 26 17:25:35 GMT 2025","passed","Sat Apr 26 17:25:37 GMT 2025","Authorization","Authentication","",""
"","1123","Navigation from login page to registration page","LMS system","Sat Apr 26 17:25:47 GMT 2025","passed","Sat Apr 26 17:25:48 GMT 2025","Authorization","Authentication","",""
"","3989","Edit course","LMS system","Sat Apr 26 17:26:06 GMT 2025","passed","Sat Apr 26 17:26:10 GMT 2025","Courses","Courses","",""
"","1653","User login with wrong email or password","LMS system","Sat Apr 26 17:25:42 GMT 2025","passed","Sat Apr 26 17:25:44 GMT 2025","Authorization","Authentication","",""
"","1336","User login with wrong email or password","LMS system","Sat Apr 26 17:25:28 GMT 2025","passed","Sat Apr 26 17:25:29 GMT 2025","Authorization","Authentication","",""
"","1984","Registration with correct email, username and password","LMS system","Sat Apr 26 17:25:51 GMT 2025","passed","Sat Apr 26 17:25:53 GMT 2025","Registration","Authentication","",""
"","3686","Edit course","LMS system","Sat Apr 26 17:26:05 GMT 2025","passed","Sat Apr 26 17:26:09 GMT 2025","Courses","Courses","",""
"","2925","Create course","LMS system","Sat Apr 26 17:25:56 GMT 2025","passed","Sat Apr 26 17:25:58 GMT 2025","Courses","Courses","",""
"","2734","Create course","LMS system","Sat Apr 26 17:25:56 GMT 2025","passed","Sat Apr 26 17:25:59 GMT 2025","Courses","Courses","",""
"","1534","Navigation from login page to registration page","LMS system","Sat Apr 26 17:25:46 GMT 2025","passed","Sat Apr 26 17:25:48 GMT 2025","Authorization","Authentication","",""
"","2216","Check displaying of dashboard page","LMS system","Sat Apr 26 17:26:16 GMT 2025","passed","Sat Apr 26 17:26:19 GMT 2025","Dashboard","Dashboard","",""
"","2966","User login with correct email and password","LMS system","Sat Apr 26 17:25:25 GMT 2025","passed","Sat Apr 26 17:25:28 GMT 2025","Authorization","Authentication","",""
"","1275","Check displaying of empty courses list","LMS system","Sat Apr 26 17:26:11 GMT 2025","passed","Sat Apr 26 17:26:12 GMT 2025","Courses","Courses","",""
"","7066","User login with correct email and password","LMS system","Sat Apr 26 17:25:30 GMT 2025","passed","Sat Apr 26 17:25:37 GMT 2025","Authorization","Authentication","",""
"","1700","Check displaying of dashboard page","LMS system","Sat Apr 26 17:26:13 GMT 2025","passed","Sat Apr 26 17:26:14 GMT 2025","Dashboard","Dashboard","",""
"","1546","User login with wrong email or password","LMS system","Sat Apr 26 17:25:44 GMT 2025","passed","Sat Apr 26 17:25:46 GMT 2025","Authorization","Authentication","",""
"","3636","Edit course","LMS system","Sat Apr 26 17:25:59 GMT 2025","passed","Sat Apr 26 17:26:03 GMT 2025","Courses","Courses","",""
"","3079","User login with correct email and password","LMS system","Sat Apr 26 17:25:39 GMT 2025","passed","Sat Apr 26 17:25:42 GMT 2025","Authorization","Authentication","",""
"","1192","User login with wrong email or password","LMS system","Sat Apr 26 17:25:29 GMT 2025","passed","Sat Apr 26 17:25:31 GMT 2025","Authorization","Authentication","",""
