"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1399","User login with wrong email or password","LMS system","Sat Apr 26 15:07:15 GMT 2025","passed","Sat Apr 26 15:07:17 GMT 2025","Authorization","Authentication","",""
"","1259","Navigation from login page to registration page","LMS system","Sat Apr 26 15:07:35 GMT 2025","passed","Sat Apr 26 15:07:36 GMT 2025","Authorization","Authentication","",""
"","2665","Create course","LMS system","Sat Apr 26 15:07:43 GMT 2025","passed","Sat Apr 26 15:07:46 GMT 2025","Courses","Courses","",""
"","2678","Create course","LMS system","Sat Apr 26 15:07:50 GMT 2025","passed","Sat Apr 26 15:07:52 GMT 2025","Courses","Courses","",""
"","3606","Edit course","LMS system","Sat Apr 26 15:07:55 GMT 2025","passed","Sat Apr 26 15:07:59 GMT 2025","Courses","Courses","",""
"","1570","Check displaying of dashboard page","LMS system","Sat Apr 26 15:08:01 GMT 2025","passed","Sat Apr 26 15:08:03 GMT 2025","Dashboard","Dashboard","",""
"","1828","User login with wrong email or password","LMS system","Sat Apr 26 15:07:30 GMT 2025","passed","Sat Apr 26 15:07:32 GMT 2025","Authorization","Authentication","",""
"","3011","User login with correct email and password","LMS system","Sat Apr 26 15:07:13 GMT 2025","passed","Sat Apr 26 15:07:16 GMT 2025","Authorization","Authentication","",""
"","1685","Registration with correct email, username and password","LMS system","Sat Apr 26 15:07:36 GMT 2025","passed","Sat Apr 26 15:07:38 GMT 2025","Registration","Authentication","",""
"","1286","Check displaying of empty courses list","LMS system","Sat Apr 26 15:08:00 GMT 2025","passed","Sat Apr 26 15:08:02 GMT 2025","Courses","Courses","",""
"","4167","Edit course","LMS system","Sat Apr 26 15:07:51 GMT 2025","passed","Sat Apr 26 15:07:55 GMT 2025","Courses","Courses","",""
"","1561","Check displaying of empty courses list","LMS system","Sat Apr 26 15:07:59 GMT 2025","passed","Sat Apr 26 15:08:00 GMT 2025","Courses","Courses","",""
"","1377","User login with wrong email or password","LMS system","Sat Apr 26 15:07:21 GMT 2025","passed","Sat Apr 26 15:07:22 GMT 2025","Authorization","Authentication","",""
"","1660","User login with wrong email or password","LMS system","Sat Apr 26 15:07:23 GMT 2025","passed","Sat Apr 26 15:07:24 GMT 2025","Authorization","Authentication","",""
"","1552","User login with wrong email or password","LMS system","Sat Apr 26 15:07:19 GMT 2025","passed","Sat Apr 26 15:07:20 GMT 2025","Authorization","Authentication","",""
"","2031","Check displaying of dashboard page","LMS system","Sat Apr 26 15:08:02 GMT 2025","passed","Sat Apr 26 15:08:05 GMT 2025","Dashboard","Dashboard","",""
"","3040","User login with correct email and password","LMS system","Sat Apr 26 15:07:26 GMT 2025","passed","Sat Apr 26 15:07:29 GMT 2025","Authorization","Authentication","",""
"","1601","User login with wrong email or password","LMS system","Sat Apr 26 15:07:13 GMT 2025","passed","Sat Apr 26 15:07:15 GMT 2025","Authorization","Authentication","",""
"","1235","User login with wrong email or password","LMS system","Sat Apr 26 15:07:17 GMT 2025","passed","Sat Apr 26 15:07:18 GMT 2025","Authorization","Authentication","",""
"","4001","Edit course","LMS system","Sat Apr 26 15:07:46 GMT 2025","passed","Sat Apr 26 15:07:50 GMT 2025","Courses","Courses","",""
"","2267","Create course","LMS system","Sat Apr 26 15:07:43 GMT 2025","passed","Sat Apr 26 15:07:45 GMT 2025","Courses","Courses","",""
"","6670","User login with correct email and password","LMS system","Sat Apr 26 15:07:17 GMT 2025","passed","Sat Apr 26 15:07:24 GMT 2025","Authorization","Authentication","",""
"","1387","Navigation from login page to registration page","LMS system","Sat Apr 26 15:07:34 GMT 2025","passed","Sat Apr 26 15:07:35 GMT 2025","Authorization","Authentication","",""
"","1220","Navigation from login page to registration page","LMS system","Sat Apr 26 15:07:33 GMT 2025","passed","Sat Apr 26 15:07:34 GMT 2025","Authorization","Authentication","",""
"","1525","Check displaying of dashboard page","LMS system","Sat Apr 26 15:08:05 GMT 2025","passed","Sat Apr 26 15:08:06 GMT 2025","Dashboard","Dashboard","",""
"","1766","User login with wrong email or password","LMS system","Sat Apr 26 15:07:26 GMT 2025","passed","Sat Apr 26 15:07:28 GMT 2025","Authorization","Authentication","",""
"","1228","Check displaying of empty courses list","LMS system","Sat Apr 26 15:07:55 GMT 2025","passed","Sat Apr 26 15:07:57 GMT 2025","Courses","Courses","",""
"","2290","Registration with correct email, username and password","LMS system","Sat Apr 26 15:07:37 GMT 2025","passed","Sat Apr 26 15:07:40 GMT 2025","Registration","Authentication","",""
"","2100","Registration with correct email, username and password","LMS system","Sat Apr 26 15:07:38 GMT 2025","passed","Sat Apr 26 15:07:40 GMT 2025","Registration","Authentication","",""
"","1657","User login with wrong email or password","LMS system","Sat Apr 26 15:07:31 GMT 2025","passed","Sat Apr 26 15:07:32 GMT 2025","Authorization","Authentication","",""
