"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1543","Check displaying of empty courses list","LMS system","Sun Apr 27 15:04:00 GMT 2025","passed","Sun Apr 27 15:04:02 GMT 2025","Courses","Courses","",""
"","1772","User login with wrong email or password","LMS system","Sun Apr 27 15:03:31 GMT 2025","passed","Sun Apr 27 15:03:33 GMT 2025","Authorization","Authentication","",""
"","1625","Check displaying of dashboard page","LMS system","Sun Apr 27 15:03:59 GMT 2025","passed","Sun Apr 27 15:04:01 GMT 2025","Dashboard","Dashboard","",""
"","1158","Check displaying of empty courses list","LMS system","Sun Apr 27 15:03:57 GMT 2025","passed","Sun Apr 27 15:03:58 GMT 2025","Courses","Courses","",""
"","1344","User login with wrong email or password","LMS system","Sun Apr 27 15:03:21 GMT 2025","passed","Sun Apr 27 15:03:23 GMT 2025","Authorization","Authentication","",""
"","2691","Create course","LMS system","Sun Apr 27 15:03:48 GMT 2025","passed","Sun Apr 27 15:03:51 GMT 2025","Courses","Courses","",""
"","1327","User login with wrong email or password","LMS system","Sun Apr 27 15:03:13 GMT 2025","passed","Sun Apr 27 15:03:15 GMT 2025","Authorization","Authentication","",""
"","1393","Navigation from login page to registration page","LMS system","Sun Apr 27 15:03:32 GMT 2025","passed","Sun Apr 27 15:03:33 GMT 2025","Authorization","Authentication","",""
"","4024","Edit course","LMS system","Sun Apr 27 15:03:52 GMT 2025","passed","Sun Apr 27 15:03:56 GMT 2025","Courses","Courses","",""
"","1737","User login with wrong email or password","LMS system","Sun Apr 27 15:03:24 GMT 2025","passed","Sun Apr 27 15:03:26 GMT 2025","Authorization","Authentication","",""
"","1029","Navigation from login page to registration page","LMS system","Sun Apr 27 15:03:34 GMT 2025","passed","Sun Apr 27 15:03:35 GMT 2025","Authorization","Authentication","",""
"","3041","User login with correct email and password","LMS system","Sun Apr 27 15:03:11 GMT 2025","passed","Sun Apr 27 15:03:14 GMT 2025","Authorization","Authentication","",""
"","1572","Registration with correct email, username and password","LMS system","Sun Apr 27 15:03:34 GMT 2025","passed","Sun Apr 27 15:03:36 GMT 2025","Registration","Authentication","",""
"","1969","Check displaying of dashboard page","LMS system","Sun Apr 27 15:04:03 GMT 2025","passed","Sun Apr 27 15:04:05 GMT 2025","Dashboard","Dashboard","",""
"","1987","Check displaying of dashboard page","LMS system","Sun Apr 27 15:04:02 GMT 2025","passed","Sun Apr 27 15:04:04 GMT 2025","Dashboard","Dashboard","",""
"","7669","User login with correct email and password","LMS system","Sun Apr 27 15:03:16 GMT 2025","passed","Sun Apr 27 15:03:24 GMT 2025","Authorization","Authentication","",""
"","1597","User login with wrong email or password","LMS system","Sun Apr 27 15:03:11 GMT 2025","passed","Sun Apr 27 15:03:13 GMT 2025","Authorization","Authentication","",""
"","1419","Navigation from login page to registration page","LMS system","Sun Apr 27 15:03:35 GMT 2025","passed","Sun Apr 27 15:03:37 GMT 2025","Authorization","Authentication","",""
"","2745","Create course","LMS system","Sun Apr 27 15:03:43 GMT 2025","passed","Sun Apr 27 15:03:46 GMT 2025","Courses","Courses","",""
"","2672","Create course","LMS system","Sun Apr 27 15:03:41 GMT 2025","passed","Sun Apr 27 15:03:44 GMT 2025","Courses","Courses","",""
"","1713","User login with wrong email or password","LMS system","Sun Apr 27 15:03:28 GMT 2025","passed","Sun Apr 27 15:03:30 GMT 2025","Authorization","Authentication","",""
"","1491","User login with wrong email or password","LMS system","Sun Apr 27 15:03:19 GMT 2025","passed","Sun Apr 27 15:03:21 GMT 2025","Authorization","Authentication","",""
"","3066","Edit course","LMS system","Sun Apr 27 15:03:47 GMT 2025","passed","Sun Apr 27 15:03:50 GMT 2025","Courses","Courses","",""
"","2049","Registration with correct email, username and password","LMS system","Sun Apr 27 15:03:38 GMT 2025","passed","Sun Apr 27 15:03:40 GMT 2025","Registration","Authentication","",""
"","3377","User login with correct email and password","LMS system","Sun Apr 27 15:03:26 GMT 2025","passed","Sun Apr 27 15:03:29 GMT 2025","Authorization","Authentication","",""
"","2074","Registration with correct email, username and password","LMS system","Sun Apr 27 15:03:36 GMT 2025","passed","Sun Apr 27 15:03:38 GMT 2025","Registration","Authentication","",""
"","1123","Check displaying of empty courses list","LMS system","Sun Apr 27 15:03:57 GMT 2025","passed","Sun Apr 27 15:03:59 GMT 2025","Courses","Courses","",""
"","4081","Edit course","LMS system","Sun Apr 27 15:03:52 GMT 2025","passed","Sun Apr 27 15:03:56 GMT 2025","Courses","Courses","",""
"","1153","User login with wrong email or password","LMS system","Sun Apr 27 15:03:15 GMT 2025","passed","Sun Apr 27 15:03:16 GMT 2025","Authorization","Authentication","",""
"","1977","User login with wrong email or password","LMS system","Sun Apr 27 15:03:16 GMT 2025","passed","Sun Apr 27 15:03:18 GMT 2025","Authorization","Authentication","",""
